"full_name","qualification","area","phone","email","hourly_rate","is_available","created_at"
"Rabia Zafar","MSc Zoology","Faqirabad","0303-6592886","noman.ali7607@edu.pk","750","1","2023-10-23 00:00:00"
"Sumera Hussain","BBA","Saddar","0301-6193922","nadia.qureshi743@gmail.com","1700","1","2024-05-02 00:00:00"
"Rehan Nasir","BSc Chemistry","University Town","0331-9531021","iqra.malik1593@yahoo.com","1650","0","2024-04-12 00:00:00"
"Bilal Butt","MSc Physics","Gulbahar","0311-3307963","asif.ansari6079@hotmail.com","950","0","2023-09-12 00:00:00"
"Rehan Butt","MSc Zoology","Saddar","0331-3587931","omer.rizvi1623@hotmail.com","1000","0","2025-03-01 00:00:00"
"Faisal Ansari","BSc Physics","Dalazak Road","0321-4985095","rabia.ahmed6071@yahoo.com","1900","1","2024-09-02 00:00:00"
"Waqas Baig","MCom","Nauthia","0333-4255051","bushra.baig5943@gmail.com","1650","1","2025-01-05 00:00:00"
"Bushra Mehmood","MCom","Nauthia","0331-9437374","maham.aslam5877@gmail.com","1800","1","2023-12-22 00:00:00"
"Saad Shah","BSc Physics","Peshawar Cantt","0333-7227905","rabia.siddiqui2002@hotmail.com","800","1","2024-11-10 00:00:00"
"Kamran Ali","PhD Chemistry","Tehkal","0333-9612629","rehan.siddiqui9784@gmail.com","950","1","2023-09-02 00:00:00"
"Daniyal Ansari","MSc Statistics","Shahi Bagh","0300-7960815","arslaan.butt3991@yahoo.com","650","1","2024-06-17 00:00:00"
"Asif Ali","MSc Statistics","Gulbahar","0300-6346644","ali.gul9081@yahoo.com","800","1","2025-03-27 00:00:00"
"Kinza Qureshi","BEd","Hayatabad","0312-8926478","daniyal.rehman3818@edu.pk","900","1","2024-09-23 00:00:00"
"Zainab Khan","MBA","Hayatabad","0312-4618086","arslaan.aslam9765@gmail.com","950","1","2025-02-13 00:00:00"
"Nadia Mehmood","MCom","Gulbahar","0312-3044276","huma.qureshi2130@edu.pk","650","1","2025-03-16 00:00:00"
"Zara Malik","MSc Physics","Charsadda Road","0345-1275739","usman.nawaz423@yahoo.com","1250","1","2024-03-25 00:00:00"
"Fatima Sheikh","MSc Statistics","Gulbahar","0331-4142605","imran.saleem3899@edu.pk","750","1","2024-06-04 00:00:00"
"Junaid Javed","BSc Chemistry","Nauthia","0345-1341153","hamza.shah859@yahoo.com","1700","1","2023-07-15 00:00:00"
"Saima Shah","MSc Mathematics","Warsak Road","0301-6784825","sidra.malik1042@hotmail.com","1250","1","2025-03-05 00:00:00"
"Qasim Rana","MA Urdu","Saddar","0300-6910597","tooba.mirza8409@gmail.com","1550","1","2023-11-27 00:00:00"
"Rida Farooq","PhD Chemistry","Nauthia","0303-2058651","sidra.baig711@edu.pk","1950","0","2023-12-24 00:00:00"
"Arslaan Siddiqui","BSc Physics","Warsak Road","0312-9646701","laila.khan997@hotmail.com","1750","1","2024-12-08 00:00:00"
"Rabia Ahmed","MSc Biology","Tehkal","0321-1802018","aleena.nawaz1769@hotmail.com","1550","1","2024-06-11 00:00:00"
"Shazia Hashmi","MA Islamic Studies","Shahi Bagh","0331-6688090","zara.aslam1324@edu.pk","1050","1","2024-10-22 00:00:00"
"Fariha Saleem","BSc Chemistry","Tehkal","0301-8121922","ali.qureshi4506@edu.pk","750","1","2023-12-02 00:00:00"
"Uzma Malik","MBA","Warsak Road","0312-6142147","zainab.abbasi4832@hotmail.com","1900","1","2024-08-10 00:00:00"
"Zain Ansari","MSc Statistics","Kohat Road","0300-6914963","nadia.saleem1875@yahoo.com","1850","1","2023-07-29 00:00:00"
"Rehan Hussain","BBA","Warsak Road","0345-3684131","bushra.aslam3744@hotmail.com","550","0","2025-02-12 00:00:00"
"Aisha Qureshi","MBA","Gulbahar","0321-7075878","anum.ansari6533@hotmail.com","1700","1","2023-07-04 00:00:00"
"Rehan Ansari","MSc Statistics","Warsak Road","0333-2289923","sohail.rizvi5121@edu.pk","900","1","2024-07-12 00:00:00"
"Laila Shah","BA English Literature","University Town","0300-4121368","sana.nawaz7771@gmail.com","2050","1","2024-12-27 00:00:00"
"Tariq Mehmood","MSc Economics","Chamkani","0333-4599894","daniyal.ali1528@hotmail.com","1400","1","2024-10-15 00:00:00"
"Usman Qureshi","MBA","Kohat Road","0303-8467726","faisal.zafar6106@yahoo.com","750","1","2024-04-23 00:00:00"
"Rida Ali","PhD Mathematics","Pajagi Road","0312-6032437","shahid.javed9203@edu.pk","1000","1","2025-03-15 00:00:00"
"Arslaan Mirza","BSc Chemistry","Gulbahar","0301-4371891","raza.mirza6930@gmail.com","900","1","2024-10-18 00:00:00"
"Imran Javed","MA English","Warsak Road","0333-3177199","zainab.akhtar5762@gmail.com","750","0","2024-07-12 00:00:00"
"Sidra Rizvi","MSc Chemistry","Faqirabad","0301-3102634","hassan.nawaz7901@yahoo.com","1500","1","2024-09-03 00:00:00"
"Sobia Abbasi","MSc Statistics","Saddar","0345-4052834","imran.rehman9114@edu.pk","900","1","2023-07-27 00:00:00"
"Junaid Qureshi","MCom","Saddar","0303-6413349","qasim.shah9407@yahoo.com","1200","1","2024-11-13 00:00:00"
"Huma Ali","MSc Economics","Gulbahar","0345-5604524","huma.javed9122@gmail.com","900","1","2025-02-19 00:00:00"
"Junaid Hussain","PhD Chemistry","Charsadda Road","0303-3872269","fatima.chaudhry4478@edu.pk","1550","1","2024-12-29 00:00:00"
"Daniyal Rehman","MSc Mathematics","University Town","0300-5440189","saima.khan2973@yahoo.com","1150","1","2024-07-31 00:00:00"
"Omar Aslam","PhD Mathematics","Tehkal","0312-9102469","zara.qureshi503@gmail.com","1250","1","2024-07-20 00:00:00"
"Bushra Ali","BSc Physics","Saddar","0333-7972975","asif.rizvi7433@edu.pk","2000","1","2024-05-14 00:00:00"
"Sohail Rehman","MA Urdu","Chamkani","0321-7689354","imran.akhtar5315@gmail.com","900","1","2024-11-09 00:00:00"
"Sohail Baig","MA Islamic Studies","University Town","0312-8542969","hassan.chaudhry816@gmail.com","1250","0","2023-07-22 00:00:00"
"Noor Rehman","MSc Zoology","Dalazak Road","0311-3679315","bushra.nawaz6948@hotmail.com","1500","1","2024-04-16 00:00:00"
"Qasim Chaudhry","MSc Physics","Pajagi Road","0333-9367799","aleena.shah3532@gmail.com","1450","1","2023-09-01 00:00:00"
"Sidra Ansari","BA English Literature","Gulbahar","0321-1816348","aleena.malik4641@hotmail.com","650","1","2025-02-01 00:00:00"
"Sumera Javed","MSc Mathematics","Faqirabad","0301-8229768","aisha.baig6476@gmail.com","900","1","2024-06-09 00:00:00"
